world_rank,university_name,country,teaching,international outlook,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,tuition_fee,median_salary
401-500,University of Bari Aldo Moro,Italy,28.7,31.7,21.6,48.8,45.4,,51560,65.1,0.02,65:35:00,2016,,
401-500,Bournemouth University,United Kingdom,32,70.6,12.6,35.2,28.8,,14907,25.9,0.18,53:47:00,2016,19035,31020
401-500,University of Brescia,Italy,15.6,36.6,14.8,72.3,35.8,,14076,25,0.07,48:52:00,2016,,
401-500,Brno University of Technology,Czech Republic,18,35.8,14.7,55.8,33.7,,23694,21.3,0.15,27 : 73,2016,,
401-500,Brunel University London,United Kingdom,24.8,91.8,23.3,39.5,34.7,,12613,17.6,0.38,46:54:00,2016,24252,33840
401-500,Ca’ Foscari University of Venice,Italy,23.9,38.1,27.8,48.9,32.3,,19267,38.3,0.07,66:34:00,2016,,
401-500,University of Cagliari,Italy,19.4,32.6,13.2,56.8,33.6,,30638,51,0.01,62:38:00,2016,,
401-500,Catholic University of the Sacred Heart,Italy,18.6,39,11.3,55.4,38.7,,30304,18.9,0.1,,2016,,
401-500,Charles University in Prague,Czech Republic,31.5,52.8,21.5,41,28.2,,51438,13,0.15,62:38:00,2016,,
401-500,City University London,United Kingdom,23.5,89.6,21.2,43.5,28.9,,13053,17.8,0.5,55:45:00,2016,20445,50760
401-500,Claude Bernard University Lyon 1,France,21.3,50.5,13.2,66.5,34.5,,35308,16.1,0.11,50:50:00,2016,,
401-500,University of Coimbra,Portugal,28.3,46.2,26.5,42.4,34.8,,22795,19,0.11,55:45:00,2016,,
401-500,Complutense University of Madrid,Spain,33.2,39.1,27.6,31.2,30.9,,86519,17.5,0.13,62:38:00,2016,,
401-500,Concordia University,Canada,19.3,77.4,23.4,36.4,30.9,,31017,30.3,0.27,50:50:00,2016,,
401-500,Dublin City University,Republic of Ireland,26.1,76.7,25.2,36.3,51.7,,8546,22.9,0.17,51:49:00,2016,,
401-500,University of Ferrara,Italy,17.7,41.8,17.2,63.3,35.9,,18882,30.2,0.07,56:44:00,2016,,
401-500,Florida International University,United States of America,25.7,32.8,18.1,49.4,32.7,,32566,25.9,0.07,56:44:00,2016,,43200
401-500,University of Genoa,Italy,27.2,38.8,14.2,59.3,42.3,,37373,29.5,0.09,56:44:00,2016,,
401-500,Georgia State University,United States of America,26.3,29.5,19.5,52.9,28.7,,28534,20.4,0.05,59:41:00,2016,,41800
401-500,University of Graz,Austria,24.9,68.9,16.3,53.3,29.3,,20584,26.8,0.12,65:35:00,2016,,
401-500,Heriot-Watt University,United Kingdom,23.4,90.1,22.4,36.4,45.6,,8773,17.8,0.43,41:59:00,2016,,35250
401-500,Howard University,United States of America,38.8,30.3,11,44.5,,,10297,6.8,0.05,65:35:00,2016,24908,46900
401-500,University of Hull,United Kingdom,22.4,73.2,16.1,41.1,31.8,,15141,18.7,0.2,52:48:00,2016,21150,36660
401-500,University of Idaho,United States of America,28.3,32,19.4,40.8,32.4,,11641,21.5,0.06,47:53:00,2016,22040,44900
401-500,Johannes Kepler University of Linz,Austria,19.2,58.5,13.8,51.6,37.4,,19646,29.1,0.1,48:52:00,2016,,
401-500,University of Kaiserslautern,Germany,29.6,44.1,22.6,47.5,80.2,,14184,54.4,0.14,36 : 64,2016,,
401-500,Keele University,United Kingdom,20,72.7,17.6,53,29.3,,8397,15.7,0.2,55:45:00,2016,21855,38070
401-500,Lehigh University,United States of America,23.9,36,15,58.2,38.9,,6300,11.3,0.15,44:56:00,2016,48320,59200
401-500,Louisiana State University,United States of America,26.8,26.1,27.7,37.8,,,28116,20.1,0.06,52:48:00,2016,27005,46900
401-500,Marche Polytechnic University,Italy,15.2,27.3,11,80.2,28,,16589,23,0.04,45:55:00,2016,,
401-500,"University of Maryland, Baltimore County",United States of America,21.3,28.2,18.2,61.3,31.7,,13908,18.1,0.07,46:54:00,2016,24492,47000
401-500,University of Nantes,France,19.6,35.1,12.2,69.4,,,33866,22.2,0.11,56:44:00,2016,,
401-500,National Institute of Applied Sciences of Lyon (INSA Lyon),France,27,63.6,10.6,41.8,40.3,,6137,8.2,0.31,31 : 69,2016,,
401-500,University of Neuchâtel,Switzerland,24.2,91.4,14.7,48.2,,,4358,8.5,0.22,59:41:00,2016,,
401-500,New University of Lisbon,Portugal,26.9,44.5,21.9,38.3,41.3,,18867,17.9,0.07,49:51:00,2016,,
401-500,University of Nice Sophia Antipolis,France,21.4,79.5,16.1,53.7,28.5,,27304,20.3,0.22,56:44:00,2016,,
401-500,The Open University,United Kingdom,21,51.5,13.8,60.3,28.4,,76683,35.9,0.09,61:39:00,2016,,33840
401-500,Oxford Brookes University,United Kingdom,25.7,68.9,18.8,42.7,28.4,,14238,18.5,0.25,57:43:00,2016,18978.6,31020
401-500,University of Palermo,Italy,15.3,23.6,9.1,77.4,28,,43875,22.4,0.01,60:40:00,2016,,
401-500,University of Parma,Italy,17.7,36.8,16.6,56.4,37.1,,26937,29.1,0.07,56:44:00,2016,,
401-500,University of Pisa,Italy,21.6,31.1,18.9,64.5,31.4,,47247,18,0.04,52:48:00,2016,,
401-500,Polytechnic University of Catalonia,Spain,25.2,63.9,14.8,44.7,40.9,,22893,11.7,0.28,0.561111111,2016,,
401-500,University of Porto,Portugal,32,45.4,28.2,37.2,38.7,,32720,18.8,0.09,54:46:00,2016,,
401-500,University of Portsmouth,United Kingdom,17.2,79.3,10.9,58.2,28.9,,20161,19.1,0.23,45:55:00,2016,19317,33840
401-500,University of Rome II – Tor Vergata,Italy,23.5,36.5,17.2,64.5,34.7,,33504,26.5,0.06,52:48:00,2016,,
401-500,University of Rovira i Virgili,Spain,20.8,41.5,14.8,66.9,30.9,,12533,12.8,0.09,61:39:00,2016,,
401-500,University of Salento,Italy,29.6,24.5,13.2,53,36.2,,19959,58.4,0.01,64:36:00,2016,,
401-500,University of San Francisco,United States of America,34.2,40.1,12.9,43.8,28.6,,10788,17,0.17,63:37:00,2016,44494,47300
401-500,University of Saskatchewan,Canada,30.8,52.9,22.4,39.7,62.9,,19028,16.3,0.14,57:43:00,2016,,
401-500,University of Siena,Italy,23.7,39,17.8,45.2,33.2,,18846,23.6,0.05,59:41:00,2016,,
401-500,State University of New York Albany,United States of America,25.6,31.4,35.3,35.5,28,,15387,18.5,0.08,51:49:00,2016,,44500
401-500,University of Strathclyde,United Kingdom,25.9,71,28,31.8,44.1,,15705,20.2,0.2,50:50:00,2016,,38070
401-500,University of Tampere,Finland,23.5,41.9,13.7,63.7,40,,10045,9.5,0.04,66:34:00,2016,,
401-500,Tampere University of Technology,Finland,23.1,54,17.2,45.5,67.5,,6147,15.5,0.13,1.011805556,2016,,
401-500,Ulster University,United Kingdom,19.1,79,13.2,44.1,29.2,,19622,15.8,0.15,55:45:00,2016,,28200
401-500,Université du Québec à Montréal,Canada,26.8,42.9,24.5,41.6,29.2,,27046,24.7,0.09,61:39:00,2016,,
401-500,University of Urbino Carlo Bo,Italy,17.2,35,8.7,66.8,31.2,,13435,37.4,0.07,61:39:00,2016,,
401-500,University of Valencia,Spain,22.7,40.5,16.9,49.6,31.3,,58413,15.4,0.09,60:40:00,2016,,
501-600,University of Arkansas,United States of America,25.5,25.9,17.4,30.3,36.9,,22819,21.2,0.05,50:50:00,2016,23168,44100
501-600,Auburn University,United States of America,30.2,27.9,19.4,21,37.2,,22386,17.6,0.04,51:49:00,2016,28840,45400
501-600,University of the Basque Country,Spain,18.2,34.9,11.9,43.1,30.3,,46373,15.3,0.05,53:47:00,2016,,
501-600,Blaise Pascal University,France,20.2,66.6,2.9,46.9,,,15619,7.1,0.17,55:45:00,2016,,
501-600,University of Burgundy,France,21.4,50.9,8.8,46.3,,,26612,20.8,0.11,54:46:00,2016,,
501-600,Carleton University,Canada,19.9,61.3,24,32,30.4,,25036,29.8,0.18,47:53:00,2016,,
501-600,University of Catania,Italy,19.2,25.3,15.9,52.9,29.5,,55859,49.7,0.01,61:39:00,2016,,
501-600,Czech Technical University in Prague,Czech Republic,20.6,25,9.3,46.5,28.2,,22751,12,,-,2016,,
501-600,De Montfort University,United Kingdom,16.8,58.4,10.1,40.1,28.5,,16812,19.1,0.21,57:43:00,2016,17272.5,28200
501-600,University of Granada,Spain,24.3,36.4,14.7,45.8,29.4,,53476,16,0.06,56:44:00,2016,,
501-600,University of Hertfordshire,United Kingdom,15.5,78.9,9.5,50.5,29.3,,19665,19.4,0.27,54:46:00,2016,16215,35250
501-600,Kansas State University,United States of America,22.9,41.7,17.5,39.3,43.1,,21379,15.1,0.1,50:50:00,2016,23429,43300
501-600,Kent State University,United States of America,18.4,32.4,14.2,53.8,28.5,,23122,19,0.08,58:42:00,2016,18376,38700
501-600,University of La Laguna,Spain,16.9,44.7,10,44.8,28.5,,22422,14.9,0.05,58:42:00,2016,,
501-600,Lappeenranta University of Technology,Finland,27.1,53,27.5,20.8,80.3,,3486,23.9,0.19,31 : 69,2016,,
501-600,University of Limerick,Republic of Ireland,19.8,76.5,16.3,36.6,34,,12212,19.8,0.13,46:54:00,2016,,
501-600,University of Lisbon,Portugal,25.9,46.6,18.3,32.4,35.4,,47849,17.5,0.09,51:49:00,2016,,
501-600,Liverpool John Moores University,United Kingdom,16.4,62.1,11.6,45.9,28.8,,18513,19.8,0.13,52:48:00,2016,17427.6,26790
501-600,Manchester Metropolitan University,United Kingdom,22.7,57.8,10.6,30.8,28.3,,28037,18.2,0.14,57:43:00,2016,17836.5,29610
501-600,University of Maribor,Slovenia,17.1,33.6,11.5,42.1,38.7,,14531,17.3,0.04,,2016,,
501-600,Masaryk University,Czech Republic,21.2,48.9,22.9,27.8,28.5,,40898,26.6,0.17,62:38:00,2016,,
501-600,Memorial University of Newfoundland,Canada,18.1,53.3,15.8,35.6,48.3,,15464,14.6,0.1,59:41:00,2016,,
501-600,University of Minho,Portugal,23.9,43.6,20.1,35.3,51.6,,19090,18.8,0.09,52:48:00,2016,,
501-600,Missouri University of Science and Technology,United States of America,23.5,40.6,18.4,28.7,52.8,,7647,15.5,0.12,1.011805556,2016,26152,26152
501-600,Montana State University,United States of America,17.7,23.5,21.8,48,43,,12331,17.8,0.04,46:54:00,2016,23042,23042
501-600,New Jersey Institute of Technology,United States of America,18.9,48.5,16.6,32.2,32.2,,10646,26.2,0.17,25 : 75,2016,30326,30326
501-600,New Mexico State University,United States of America,19.5,30.5,19.2,47.2,34.6,,15035,18.8,0.07,54:46:00,2016,21234,21234
501-600,University of North Carolina at Greensboro,United States of America,18.2,17.4,15.3,43.1,28.9,,16446,19.2,0.02,66:34:00,2016,21595,21595
501-600,Oklahoma State University,United States of America,27.5,25.6,22.7,33.1,33.7,,21270,21.4,0.07,49:51:00,2016,20978,20978
501-600,Otto von Guericke University of Magdeburg,Germany,22.9,43.9,14.4,39.7,37.7,,14104,13.1,0.13,42:58:00,2016,,
501-600,University of Oviedo,Spain,19.5,36.2,10.8,41.9,34.1,,24210,13.7,0.05,54:46:00,2016,,
501-600,Palacký University in Olomouc,Czech Republic,19.2,48.8,11.8,42.9,28.7,,18540,11.4,0.09,70:30:00,2016,,
501-600,Paris Dauphine University,France,21.9,69.3,11.1,27.6,30.6,,9565,15.4,0.28,53:47:00,2016,,
501-600,Portland State University,United States of America,16.8,31.6,14.4,43.3,44.6,,20398,22.2,0.08,54:46:00,2016,,
501-600,University of Regina,Canada,15.6,47.7,15.8,34.2,34.4,,11550,22.8,0.12,61:39:00,2016,,
501-600,University of Rennes 1,France,17.8,53,10.3,44.7,31.7,,22186,13.9,0.12,50:50:00,2016,,
501-600,University of Salamanca,Spain,26.1,40.8,16.9,25.9,31.6,,31035,17.9,0.12,58:42:00,2016,,
501-600,University of Santiago de Compostela,Spain,22.9,37.1,14.1,46.9,32.3,,29085,15.3,0.06,63:37:00,2016,,
501-600,Semmelweis University,Hungary,19.6,81.7,10.6,41.5,30.7,,12920,10.9,0.25,64:36:00,2016,,
501-600,University of Seville,Spain,21.5,32,14.9,32.6,36.7,,64931,17.5,0.07,55:45:00,2016,,
501-600,Université de Sherbrooke,Canada,25.6,39.8,9.5,41.3,29.6,,13438,5.4,0.05,54:46:00,2016,,
501-600,Tallinn University of Technology,Estonia,16.3,37.9,15,38.7,44.8,,14061,28.6,0.05,44:56:00,2016,,
501-600,University of Texas at Arlington,United States of America,20.1,50.3,10.1,50.9,33.4,,29396,10.5,0.1,60:40:00,2016,,
501-600,University of Toledo,United States of America,31.6,37.7,13.4,29.9,32.9,,19465,17.5,0.09,50:50:00,2016,,43100
501-600,University of Tulsa,United States of America,29.7,43.8,12.9,24.6,71.7,,4597,12.5,0.25,43:57:00,2016,38796,42400
501-600,University of Warsaw,Poland,26.1,41.6,15.8,42.2,28.5,,49292,14.1,0.07,67:33:00,2016,,
501-600,University of Wisconsin-Milwaukee,United States of America,17.3,26,13.8,45.5,29,,22542,18.4,0.05,52:48:00,2016,,42300
501-600,University of Zaragoza,Spain,20.1,33.5,12.7,49.5,36.7,,31046,11.8,0.05,55:45:00,2016,,
601-800,University of A Coruña,Spain,18.3,23.4,10,16.6,38.2,,17062,13,0.02,52:48:00,2016,,
601-800,Adam Mickiewicz University,Poland,20,25.7,11,15.3,28.7,,40633,15.6,0.01,71:29:00,2016,,
601-800,AGH University of Science and Technology,Poland,14.2,17.9,3.7,35.7,,,35569,17,0.01,-,2016,,
601-800,University of Alcalá,Spain,17.6,50,11.2,28.3,43.3,,30812,25.1,0.18,53:47:00,2016,,
601-800,Belarusian State University,Belarus,20.2,48.2,8.7,6,28,,29303,10.6,0.06,69:31:00,2016,,
601-800,University of Bradford,United Kingdom,18.7,79.1,15.9,22.7,32.7,,11065,20.5,0.32,53:47:00,2016,21742.2,
601-800,University of Brighton,United Kingdom,16.7,62.8,10.7,20.1,29.4,,16924,19.5,0.19,58:42:00,2016,19458,31020
601-800,Budapest University of Technology and Economics,Hungary,17.1,30.4,13.7,21.6,39.7,,22447,22.1,0.04,32 : 68,2016,,
601-800,"California State University, Long Beach",United States of America,11.6,18.9,10.4,23.3,,,29594,32.3,0.05,58:42:00,2016,,45100
601-800,University of Castilla-La Mancha,Spain,18.4,28.6,10.3,30.5,29.7,,26381,14.3,0.03,56:44:00,2016,,
601-800,University of Central Lancashire,United Kingdom,15.7,54.1,9.4,28.2,28.9,,18542,17.5,0.17,57:43:00,2016,18259.5,26790
601-800,University of Cergy-Pontoise,France,18.7,49.1,6.3,13.2,28.6,,17000,9.2,0.11,53:47:00,2016,,
601-800,Carlos III University of Madrid,Spain,23.2,44.7,17.4,24.8,34.8,,15730,11.4,0.09,43:57:00,2016,,
601-800,"University of Chemistry and Technology, Prague",Czech Republic,21.6,46.3,12,17.4,38.9,,4699,11,0.19,,2016,,
601-800,Clemson University,United States of America,21.4,34.6,19.7,27,35.8,,19198,17.1,0.08,46:54:00,2016,32796,48400
601-800,Comenius University in Bratislava,Slovakia,23,46.9,10.3,19.6,28,,20879,9.7,0.1,54:46:00,2016,,
601-800,Coventry University,United Kingdom,17.1,69.6,7.7,18.4,29.1,,21934,14.8,0.35,47:53:00,2016,17509.38,31020
601-800,University of Debrecen,Hungary,17.3,49,11.4,20.9,,,29714,20.3,0.13,57:43:00,2016,,
601-800,Dublin Institute of Technology,Republic of Ireland,16.1,70.5,8.8,20.7,28.1,,13839,18.9,0.25,41:59:00,2016,,
601-800,Eötvös Loránd University,Hungary,21.3,43,12.1,30.6,29.3,,28698,22.4,0.04,,2016,,
601-800,Florida Institute of Technology,United States of America,20.4,62.4,13.5,24.6,33.4,,4408,13.7,0.26,34 : 66,2016,40446,
601-800,Gdańsk University of Technology,Poland,15.5,16.1,9.5,15.2,36.8,,25217,23.3,0.01,39 : 61,2016,,
601-800,Glasgow Caledonian University,United Kingdom,17.1,55,10.4,24.2,29.9,,13527,21.6,0.16,60:40:00,2016,,36660
601-800,University of Greenwich,United Kingdom,15.7,81.8,9.5,17.7,30,,18096,24.6,0.32,53:47:00,2016,15792,33840
601-800,University of Huddersfield,United Kingdom,17.4,55.2,5.4,16.5,28,,15436,18.1,0.25,54:46:00,2016,19740,33840
601-800,Jagiellonian University,Poland,24,33.5,14.4,30.7,28,,42835,11.5,0.05,67:33:00,2016,,
601-800,Kingston University,United Kingdom,16.9,76.8,12.1,26.7,28.5,,20778,20.9,0.34,53:47:00,2016,18330,
601-800,University of Latvia,Latvia,22.6,31.5,10.2,20.9,28.3,,15100,26.5,0.03,68:32:00,2016,,
601-800,Lille 1 University – Science and Technology,France,20,60.3,8.6,32.4,31.8,,19599,14.5,0.18,41:59:00,2016,,
601-800,University of Lincoln,United Kingdom,17.9,60.5,11.9,26.4,29.3,,10665,18.9,0.11,54:46:00,2016,,
601-800,University of Ljubljana,Slovenia,24.9,34.5,13.6,24,32.3,,48821,17.6,0.04,60:40:00,2016,,
601-800,Miami University,United States of America,19.2,24.8,15.7,36.1,30.2,,16370,20.5,0.07,53:47:00,2016,,
601-800,Middlesex University,United Kingdom,18.5,81,10.6,25.7,,,17753,24.7,0.44,59:41:00,2016,,38070
601-800,University of Murcia,Spain,19.3,28.3,11.7,28,29.5,,31460,15.8,0.06,62:38:00,2016,,
601-800,Northumbria University,United Kingdom,17.7,55.1,10.9,29.2,29.1,,22750,19.3,0.16,55:45:00,2016,18330,33840
601-800,Nottingham Trent University,United Kingdom,16.5,52.7,8.9,27.3,28.4,,21852,17.4,0.18,55:45:00,2016,17766,32430
601-800,Oakland University,United States of America,18.1,23.3,11.9,21.9,30.3,,14584,19.8,0.02,60:40:00,2016,,
601-800,Ohio University,United States of America,25,33.6,14.9,24.6,30.1,,22224,20,0.1,50:50:00,2016,21208,42200
601-800,University of Pardubice,Czech Republic,15.9,23.4,11.9,11.1,28.3,,10671,19.8,0.04,55:45:00,2016,,
601-800,University of Paris North – Paris 13,France,17.5,46.4,11.6,36.2,28,,23026,23.4,0.22,60:40:00,2016,,
601-800,Paris-Sorbonne University – Paris 4,France,31.1,44.2,21.3,7.1,28.5,,21580,27.4,0.21,69:31:00,2016,,
601-800,University of Pécs,Hungary,19.7,50.8,9,23.4,28.4,,21819,15.4,0.1,,2016,,
601-800,Polytechnic University of Valencia,Spain,20.3,32.9,12.7,34.3,43.8,,33172,13.6,0.07,36 : 64,2016,,
601-800,Rochester Institute of Technology,United States of America,17.4,29.8,13.4,25.1,30.4,,12965,13.5,0.13,34 : 66,2016,38568,48900
601-800,University of Salford,United Kingdom,20.8,66.4,12.1,21.2,28.8,,16152,17,0.25,51:49:00,2016,,28200
601-800,Sheffield Hallam University,United Kingdom,17.3,47,9.4,20.1,28.6,,27477,18.8,0.15,53:47:00,2016,17272.5,31020
601-800,University of Silesia in Katowice,Poland,17.7,18.5,8,20.4,28.1,,32764,17.3,0.01,65:35:00,2016,,
601-800,Slovak University of Technology in Bratislava,Slovakia,23.3,30.6,8.6,24.9,33.2,,16400,15.3,0.02,31 : 69,2016,,
601-800,University of Southern Mississippi,United States of America,21,20.8,11.8,20.1,39.9,,14569,18.5,0.03,63:37:00,2016,16094,
601-800,University of Szeged,Hungary,20,46.9,10.5,20.5,33.2,,22684,13.8,0.09,58:42:00,2016,,
601-800,Taras Shevchenko National University of Kyiv,Ukraine,27.9,28.2,11,4.2,28,,22686,8.2,0.02,45:55:00,2016,,
601-800,Technical University of Madrid,Spain,21.8,39.5,14.6,24.5,38.3,,41500,13.8,0.11,32 : 68,2016,,
601-800,University of Texas at El Paso,United States of America,18.6,30.4,18.7,18.4,,,19123,29,0.07,54:46:00,2016,,43400
601-800,Texas Tech University,United States of America,27.9,36.8,17.2,22,,,29512,20.9,0.07,46:54:00,2016,22861,
601-800,V.N. Karazin Kharkiv National University,Ukraine,21.7,48.4,8.9,1.7,28.8,,14410,9.7,0.22,53:47:00,2016,,
601-800,University of Vigo,Spain,18.4,30.7,10.5,31.8,38.1,,22793,19,0.03,51:49:00,2016,,
601-800,Vilnius University,Lithuania,18.3,40.8,13.6,26.1,41,,19019,14.2,0.04,65:35:00,2016,,
601-800,Warsaw University of Technology,Poland,19.4,20.7,8.5,40.3,47.4,,34572,14.5,0.03,34 : 66,2016,,
601-800,University of West Bohemia,Czech Republic,16.3,23.1,9.7,29.8,32.1,,15639,21.5,0.02,52:48:00,2016,,
601-800,University of the West of England,United Kingdom,16.9,48.5,11.2,34.6,28.5,,22525,21.4,0.15,53:47:00,2016,,33840
601-800,University of Westminster,United Kingdom,17.3,81.9,11.7,21.1,28.5,,16609,21,0.43,57:43:00,2016,,33840